Edicao,Ano,Primeiro,Segundo,Terceiro,Quarto,Artilheiro,N_de_gols,Cidade_Primeiro,Cidade_Segundo,Cidade_Terceiro,Cidade_Quarto
1,1919,Brasil de Pelotas,Grêmio,,,ProençaBrasil de Pelotas,3,Pelotas,Porto Alegre,,
2,1920,Guarany de Bagé,Grêmio,Uruguaiana,,GreccoGuarany de Bagé,2,Bagé,Porto Alegre,Uruguaiana,
3,1921,Grêmio,Riograndense-SM,Brasil de Pelotas,Uruguaiana,MosquitoRiograndense,3,Porto Alegre,Santa Maria,Pelotas,Uruguaiana
4,1922,Grêmio,Guarani de Alegrete,Guarany de Cruz Alta,Bagé,LagartoGrêmio,5,Porto Alegre,Alegrete,Cruz Alta,Bagé
5,1925,Bagé,Grêmio,Guarany de Cruz Alta,Grêmio Santanense,PascoalitoBagé,,Bagé,Porto Alegre,Cruz Alta,Santana do Livramento
6,1926,Grêmio,Guarany de Bagé,Guarany-CS,Independente,CoróGrêmio,,Porto Alegre,Bagé,Cachoeira do Sul,Santana do Livramento
7,1927,Internacional,Bagé,14 de Julho,Nacional-SL,BarrosInternacional,,Porto Alegre,Bagé,Passo Fundo,São Leopoldo
8,1928,Americano,Bagé,Gaúcho,Guarany de Rosário,JoãozinhoAmericano-RS,,Porto Alegre,Bagé,Passo Fundo,Rosário do Sul
9,1929,Cruzeiro,Guarany de Bagé,Riograndense-SM,Ferro Carril,NestorCruzeiro-RS,,Cachoeirinha,Bagé,Santa Maria,Uruguaiana
10,1930,Pelotas,Grêmio,Novo Hamburgo,,MarcialPelotas,,Pelotas,Porto Alegre,Novo Hamburgo,
11,1931,Grêmio,Guarani de Alegrete,Riograndense-SM,Brasil de Pelotas,Artigas PérezGrêmio,3,Porto Alegre,Alegrete,Santa Maria,Pelotas
12,1932,Grêmio,Pelotas,Santa Cruz,14 de Julho,Artigas PérezGrêmio,,Porto Alegre,Pelotas,Santa Cruz do Sul,Passo Fundo
13,1933,São Paulo,Grêmio,Novo Hamburgo,Universal,NenêGrêmio,4,Rio Grande,Porto Alegre,Novo Hamburgo,Uruguaiana
14,1934,Internacional,Farroupilha,Riograndense-CA,Uruguaiana,TupanInternacional,3,Porto Alegre,Pelotas,Cruz Alta,Uruguaiana
15,1935,Farroupilha,Grêmio,Novo Hamburgo,Grêmio Santanense,RussinhoGrêmio,7,Pelotas,Porto Alegre,Novo Hamburgo,Santana do Livramento
16,1936,Rio Grande,Internacional,Riograndense-SM,Novo Hamburgo,OscarNovo Hamburgo,7,Rio Grande,Porto Alegre,Santa Maria,Novo Hamburgo
17,1937,Grêmio Santanense,Riograndense-RG,Novo Hamburgo,Riograndense-SM,Hortêncio Souza/Tom MixGrêmio Santanense,,Santana do Livramento,Rio Grande,Novo Hamburgo,Santa Maria
18,1938,Guarany de Bagé,Riograndense-RG,Riograndense-SM,Renner,PicãoGuarany de Bagé,,Bagé,Rio Grande,Santa Maria,Porto Alegre
19,1939,Riograndense-RG,Grêmio Santanense,Gaúcho,Novo Hamburgo,Carruíra/ChinêsRiograndense,,Rio Grande,Santana do Livramento,Passo Fundo,Novo Hamburgo
20,1940,Internacional,Bagé,Riograndense-SM,Juventude,MarquesInternacional,,Porto Alegre,Bagé,Santa Maria,Caxias do Sul
21,1941,Internacional,Rio Grande,Riograndense-SM,Riograndense-PF,José VillalbaInternacional,,Porto Alegre,Rio Grande,Santa Maria,Passo Fundo
22,1942,Internacional,Novo Hamburgo,Armour,Brasil de Pelotas,José VillalbaInternacional,,Porto Alegre,Novo Hamburgo,Santana do Livramento,Pelotas
23,1943,Internacional,Guarany-CS,Farroupilha,Guarany de Bagé,TesourinhaInternacional,,Porto Alegre,Cachoeira do Sul,Pelotas,Bagé
24,1944,Internacional,Bagé,Cachoeira,Novo Hamburgo,XinximInternacional,,Porto Alegre,Bagé,Cachoeira do Sul,Novo Hamburgo
25,1945,Internacional,Pelotas,Esperança,Inter SM,TesourinhaInternacional,,Porto Alegre,Pelotas,Novo Hamburgo,Santa Maria
26,1946,Grêmio,Riograndense-RG,Grêmio Santanense,Guarany de Bagé,Cordeiro/HélioGrêmio,,Porto Alegre,Rio Grande,Santana do Livramento,Bagé
27,1947,Internacional,Novo Hamburgo,Guarany de Bagé,Fluminense,CarlitosInternacional,,Porto Alegre,Novo Hamburgo,Bagé,Santana do Livramento
28,1948,Internacional,Grêmio Santanense,Cachoeira,Novo Hamburgo,GhizzoniInternacional,5,Porto Alegre,Santana do Livramento,Cachoeira do Sul,Novo Hamburgo
29,1949,Grêmio,Novo Hamburgo,14 de Julho,Brasil de Pelotas,Geada/HermesGrêmio,,Porto Alegre,Novo Hamburgo,Passo Fundo,Pelotas
30,1950,Internacional,Novo Hamburgo,Brasil de Pelotas,Uruguaiana,Ênio AndradeInternacional,3,Porto Alegre,Novo Hamburgo,Pelotas,Uruguaiana
31,1951,Internacional,Pelotas,Rio Grande,,CanhotinhoInternacional,,Porto Alegre,Pelotas,Rio Grande,
32,1952,Internacional,Novo Hamburgo,Brasil de Pelotas,14 de Julho,BodinhoInternacional,4,Porto Alegre,Novo Hamburgo,Pelotas,Passo Fundo
